# source
#   data file:		acism01712N000_gti_img1_2.5-3.0.fits
#   degrees/pix:	0.000136667
# background
#   constant value:	0.000000
# column units
#   area:		arcsec**2
#   surf_bri:		cnts/arcsec**2
#   err_rate:		cnts/arcsec**2
#   radii:		arcsecs
#   angles:		degrees

# summed background-subtracted results
upto       counts     error   background    berror      area  surf_bri  err_rate      rad1      rad2    angle1    angle2
  43       13.000     3.606        0.000     0.000   2222.39     0.006     0.002    108.00    112.00        NA        NA
  44       11.000     3.317        0.000     0.000   2255.31     0.005     0.001    112.00    116.00        NA        NA
  45       18.000     4.243        0.000     0.000   2282.18     0.008     0.002    116.00    120.00        NA        NA
  46       34.000     5.831        0.000     0.000   4712.26     0.007     0.001    120.00    128.00        NA        NA
  47       27.000     5.196        0.000     0.000   4864.03     0.006     0.001    128.00    136.00        NA        NA
  48       26.000     5.099        0.000     0.000   5057.69     0.005     0.001    136.00    144.00        NA        NA
  49       29.000     5.385        0.000     0.000   5229.07     0.006     0.001    144.00    152.00        NA        NA
  50       34.000     5.831        0.000     0.000   5359.54     0.006     0.001    152.00    160.00        NA        NA
  51       23.000     4.796        0.000     0.000   5579.09     0.004     0.001    160.00    168.00        NA        NA
  52       28.000     5.292        0.000     0.000   5817.77     0.005     0.001    168.00    176.00        NA        NA
  53       27.000     5.196        0.000     0.000   5648.32     0.005     0.001    176.00    184.00        NA        NA
  54       21.000     4.583        0.000     0.000   5249.88     0.004     0.001    184.00    192.00        NA        NA
  55       20.000     4.472        0.000     0.000   5093.03     0.004     0.001    192.00    200.00        NA        NA
  56       16.000     4.000        0.000     0.000   5125.71     0.003     0.001    200.00    208.00        NA        NA
  57       31.000     5.568        0.000     0.000   5176.78     0.006     0.001    208.00    216.00        NA        NA
  58       17.000     4.123        0.000     0.000   5240.69     0.003     0.001    216.00    224.00        NA        NA
  59       18.000     4.243        0.000     0.000   5313.06     0.003     0.001    224.00    232.00        NA        NA
  60       18.000     4.243        0.000     0.000   5403.35     0.003     0.001    232.00    240.00        NA        NA
  61       21.000     4.583        0.000     0.000   5464.59     0.004     0.001    240.00    248.00        NA        NA
  62       23.000     4.796        0.000     0.000   5535.04     0.004     0.001    248.00    256.00        NA        NA
  63       22.000     4.690        0.000     0.000   5652.44     0.004     0.001    256.00    264.00        NA        NA
  64       26.000     5.099        0.000     0.000   5704.24     0.005     0.001    264.00    272.00        NA        NA
  65       15.000     3.873        0.000     0.000   5753.38     0.003     0.001    272.00    280.00        NA        NA
  66       38.000     6.164        0.000     0.000  11743.49     0.003     0.001    280.00    296.00        NA        NA
  67       47.000     6.856        0.000     0.000  11155.28     0.004     0.001    296.00    312.00        NA        NA
  68       39.000     6.245        0.000     0.000   9403.46     0.004     0.001    312.00    328.00        NA        NA
  69       27.000     5.196        0.000     0.000   9023.42     0.003     0.001    328.00    344.00        NA        NA
  70       36.000     6.000        0.000     0.000   8811.61     0.004     0.001    344.00    360.00        NA        NA
  71       27.000     5.196        0.000     0.000   8655.97     0.003     0.001    360.00    376.00        NA        NA
  72       29.000     5.385        0.000     0.000   8511.45     0.003     0.001    376.00    392.00        NA        NA
  73       27.000     5.196        0.000     0.000   5860.13     0.005     0.001    392.00    408.00        NA        NA
  74       13.000     3.606        0.000     0.000   3765.55     0.003     0.001    408.00    424.00        NA        NA
  75        4.000     2.000        0.000     0.000   2379.00     0.002     0.001    424.00    440.00        NA        NA
  76        6.000     2.449        0.000     0.000   1662.25     0.004     0.001    440.00    456.00        NA        NA
  77        3.000     1.732        0.000     0.000   2808.18     0.001     0.001    456.00    472.00        NA        NA
  78        0.000     0.000        0.000     0.000   4851.45     0.000     0.000    472.00    488.00        NA        NA
  79        0.000     0.000        0.000     0.000   6094.69     0.000     0.000    488.00    504.00        NA        NA
  80        0.000     0.000        0.000     0.000   5383.75     0.000     0.000    504.00    520.00        NA        NA


# the following source and background components were used:
source region(s)
----------------
# Region file format: DS9 version 3.0
global color=green font="helvetica 10 normal" select=1 edit=1 move=1 delete=1 include=1 fixed=0
physical;annulus(4084,4086,0,4.0650406,8.1300812,12.195122,16.260162,20.325203,24.390244,28.455284,32.520325,36.585365,40.650406,44.715446,48.780491,52.845528,56.910568,60.975609,65.040649,69.10569,73.170731,77.235779,81.300812,85.365852,89.430893,93.495934,97.560982,101.62601,105.69106,109.75611,113.82114,117.88618,121.95122)
physical;annulus(4084,4086,121.95122,130.08128,138.21138,146.34146,154.47156,162.60162,170.7317,178.86179,186.99187,195.12196,203.25203,211.38211,219.51221,227.64227,235.77235,243.90244)
physical;annulus(4084,4086,243.90244,260.1626,276.42276,292.68292,308.94312,325.20325,341.46341,357.72357,373.98373,390.24387,406.50403,422.76419,439.02438,455.28452,471.54468,487.80484,504.065,520.3252,536.58533,552.84552,569.10559)
physical;annulus(4084,4086,569.10571,601.62604,634.14636,666.66669,699.18701,731.70734,764.22766,796.74799,829.26831,861.78864,894.30896,926.82928,959.34961,991.86993,1024.3903,1056.9106)
physical;-circle(3818,4372,4)
physical;-circle(4028,4420,6)
physical;-circle(3950,4375,6)
physical;-circle(3933,4093,5)
physical;-circle(4068,4192,9)
physical;-circle(3843,3868,5)
physical;-circle(4525,4337,6)
physical;-circle(4307,4370,4)
physical;-circle(4222,4363,7)
physical;-box(3849.9636,4928.5737,138.85744,1076.2458,114.15253)
physical;-box(4689.417,4614.2646,1133.8962,308.18353,114.153)
physical;-box(4303.1328,3522.7944,834.60095,1762.2922,114.153)
physical;-box(3350.2373,4109.9053,973.61249,594.935,114.153)
physical;-box(4084,4085.5,8,1300,114.153)
physical;-box(4115.7031,4050.241,13.087933,75.238831,42.640062)
physical;-circle(4300.5,5026.5,15)

 reg       counts    pixels      sumcnts    sumpix
---- ------------ --------- ------------ ---------
   1        2.000         1        2.000         1
   2      142.000        82      144.000        83
   3       73.000       175      217.000       258
   4       39.000       233      256.000       491
   5       36.000       349      292.000       840
   6       33.000       458      325.000      1298
   7       20.000       545      345.000      1843
   8       21.000       659      366.000      2502
   9       21.000       779      387.000      3281
  10       16.000       870      403.000      4151
  11       10.000       973      413.000      5124
  12       15.000      1076      428.000      6200
  13       16.000      1188      444.000      7388
  14       19.000      1272      463.000      8660
  15        9.000      1388      472.000     10048
  16        5.000      1464      477.000     11512
  17        8.000      1612      485.000     13124
  18       14.000      1723      499.000     14847
  19        7.000      1789      506.000     16636
  20       12.000      1887      518.000     18523
  21       12.000      2017      530.000     20540
  22        9.000      2153      539.000     22693
  23        8.000      2270      547.000     24963
  24        6.000      2378      553.000     27341
  25       15.000      2467      568.000     29808
  26       10.000      2514      578.000     32322
  27       10.000      2633      588.000     34955
  28        6.000      2688      594.000     37643
  29       13.000      2908      607.000     40551
  30       14.000      3002      621.000     43553
  31       16.000      6278      637.000     49831
  32       22.000      6733      659.000     56564
  33       16.000      7105      675.000     63669
  34       12.000      7491      687.000     71160
  35       22.000      7977      709.000     79137
  36       21.000      8408      730.000     87545
  37       12.000      8776      742.000     96321
  38       18.000      9237      760.000    105558
  39       20.000      8901      780.000    114459
  40       12.000      8866      792.000    123325
  41       15.000      8928      807.000    132253
  42       14.000      9049      821.000    141302
  43       13.000      9181      834.000    150483
  44       11.000      9317      845.000    159800
  45       18.000      9428      863.000    169228
  46       34.000     19467      897.000    188695
  47       27.000     20094      924.000    208789
  48       26.000     20894      950.000    229683
  49       29.000     21602      979.000    251285
  50       34.000     22141     1013.000    273426
  51       23.000     23048     1036.000    296474
  52       28.000     24034     1064.000    320508
  53       27.000     23334     1091.000    343842
  54       21.000     21688     1112.000    365530
  55       20.000     21040     1132.000    386570
  56       16.000     21175     1148.000    407745
  57       31.000     21386     1179.000    429131
  58       17.000     21650     1196.000    450781
  59       18.000     21949     1214.000    472730
  60       18.000     22322     1232.000    495052
  61       21.000     22575     1253.000    517627
  62       23.000     22866     1276.000    540493
  63       22.000     23351     1298.000    563844
  64       26.000     23565     1324.000    587409
  65       15.000     23768     1339.000    611177
  66       38.000     48514     1377.000    659691
  67       47.000     46084     1424.000    705775
  68       39.000     38847     1463.000    744622
  69       27.000     37277     1490.000    781899
  70       36.000     36402     1526.000    818301
  71       27.000     35759     1553.000    854060
  72       29.000     35162     1582.000    889222
  73       27.000     24209     1609.000    913431
  74       13.000     15556     1622.000    928987
  75        4.000      9828     1626.000    938815
  76        6.000      6867     1632.000    945682
  77        3.000     11601     1635.000    957283
  78        0.000     20042     1635.000    977325
  79        0.000     25178     1635.000   1002503
  80        0.000     22241     1635.000   1024744


